person_ID,name,email,phone
2426,"Brady, Nellie",BradyN@univ.edu,963.555.7569
2217,"Katheryn, Ruben Holt",KatherynR@univ.edu,963.555.7578
1968,"Michael, Dianne",MichaelD@univ.edu,963.555.7592
3012,"Grant, Adam",GrantA@univ.edu,963.555.7775
1824,"Head, Kurtis",HeadK@univ.edu,963.555.7882
3929,"Berger, Jami",BergerJ@univ.edu,963.555.8158
2682,"Earline, Jaime Fitzgerald",EarlineJ@univ.edu,963.555.8357
3112,"Evelyn, Summer Frost",EvelynS@univ.edu,963.555.8895
2303,"Quentin, Sam Hyde",QuentinS@univ.edu,963.555.8921
3903,"Dunlap, Ann",DunlapA@univ.edu,963.555.9067
3095,"Shields, Rich Pena",ShieldsR@univ.edu,963.555.9197
2383,"Page, Winnie",PageW@univ.edu,963.555.9366
2146,"Sparks, Ezra",SparksE@univ.edu,963.555.9390
3958,"Kaufman, Elba",KaufmanE@univ.edu,963.555.9507
